CID,CRPName
N00029788,   "Lummis, Cynthia Marie"
N00036582,   "Lynch, Cormick"
N00013855,   "Lynch, Stephen F"
N00036155,   "MacArthur, Thomas"
N00035588,   "Macfarlane, Michael"
N00035635,   "Maciel, Jonathan"
N00030558,   "Macko, David"
N00035914,   "MacQueen, Tate"
N00027891,   "Maffei, Dan"
N00020079,   "Magee, Doug"
N00036767,   "Maggard, Mike"
N00001157,   "Maher, Pat"
N00000078,   "Maloney, Carolyn B"
N00034277,   "Maloney, Sean Patrick"
N00032838,   "Manchin, Joe"
N00035487,   "Maness, Rob"
N00026710,   "Marchant, Kenny"
N00035463,   "Marchbanks, Neal"
N00036200,   "Marineau, Paul"
N00031777,   "Marino, Tom"
N00000270,   "Markey, Ed"
N00032264,   "Marksberry, Ed"
N00035817,   "Marrero-Aguilera, Suzanna"
N00035873,   "Mason, Michael"
N00034041,   "Massie, Thomas"
N00035053,   "Mata'Utia, Tu'au Kereti Jr"
N00036391,   "Mates, Ben J"
N00009753,   "Matheson, Jim"
N00035132,   "Matkin, Richard A"
N00027459,   "Matsui, Doris O"
N00036712,   "Maxwell, Chip"
N00036356,   "May, Richard"
N00036801,   "Mayo, Chris"
N00036637,   "Mayock, Frederick"
N00036174,   "McAffrey, Al"
N00034442,   "McAleer, Donna"
N00035593,   "McAllister, Vance"
N00006424,   "McCain, John"
N00001148,   "McCarthy, Carolyn"
N00028152,   "McCarthy, Kevin"
N00027694,   "McCaskill, Claire"
N00026460,   "McCaul, Michael"
N00034468,   "McCausland, Shaun"
N00035304,   "McClelland, Erin"
N00036589,   "McClendon, Martin"
N00006863,   "McClintock, Tom"
N00012942,   "McCollum, Betty"
N00003389,   "McConnell, Mitch"
N00034384,   "McCray, Joseph Sr"
N00036134,   "McCulloch, Craig"
N00034908,   "McDermott, Jim"
N00009829,   "McDermott, Jim"
N00036858,   "McDermott, John V"
N00036407,   "McDonald, Joyce"
N00035489,   "McFadden, Mike"
N00033922,   "McGehearty, Patrick"
N00000179,   "McGovern, James P"
N00026627,   "McHenry, Patrick"
N00002356,   "McIntyre, Mike"
N00033834,   "McKellar, Shirley"
N00035397,   "McKenna, Michael"
N00035681,   "McKenzie, Bobby"
N00006882,   "McKeon, Buck"
N00031681,   "McKinley, David"
N00036375,   "McLaughlin, Curtis E"
N00033509,   "McLeod, Gloria"
N00026314,   "McMorris Rodgers, Cathy"
N00035779,   "McMorris, Brannon"
N00026926,   "McNerney, Jerry"
N00036096,   "McPherson, Jackie"
N00033982,   "McSally, Martha"
N00036515,   "Meade, Stephen"
N00033631,   "Meadows, Mark R"
N00031134,   "Meehan, Patrick"
N00001171,   "Meeks, Gregory W"
N00027326,   "Mendoza, M V"
N00000699,   "Menendez, Robert"
N00034547,   "Meng, Grace"
N00035352,   "Mensing, Dale Kenneth"
N00030506,   "Meo, Michael"
N00033037,   "Mercer, Gabriela Saucedo"
N00029303,   "Merkley, Jeff"
N00036795,   "Mero, Travis"
N00012546,   "Messer, Luke"
N00036713,   "Metcalfe, Margaret"
N00036837,   "Meyer, Randall"
N00036696,   "Meyer, Robert H"
N00035513,   "Meyers, Vic"
N00002793,   "Mica, John L"
N00024770,   "Michaud, Mike"
N00025775,   "Mikkelson, Harley"
N00001945,   "Mikulski, Barbara A"
N00036522,   "Milakovich, Marko"
N00009795,   "Miller, Candice S"
N00031493,   "Miller, Darrel"
N00036856,   "Miller, Eric"
N00006954,   "Miller, Gary"
N00007390,   "Miller, George"
N00013846,   "Miller, Jeff"
N00029495,   "Miller-Meeks, Mariannette"
N00035443,   "Mills, Stewart"
N00035464,   "Minor, Louie"
N00035758,   "Minter, Michael"
N00035604,   "Misiuk, Isaac"
N00036475,   "Mitchell, Cassandra J"
N00036041,   "Mitchell, Nels"
N00033368,   "Mitchum, Christopher"
N00034719,   "Monchil, Russ"
N00036610,   "Montchalin, Mike"
N00034502,   "Montigel, Bob"
N00036770,   "Montilla, Nestor"
N00005988,   "Montoya, Marco"
N00036275,   "Moolenaar, John"
N00033814,   "Mooney, Alex"
N00036232,   "Moore, Art"
N00026914,   "Moore, Gwen"
N00035184,   "Moore, Matt"
N00028833,   "Moran, David"
N00005282,   "Moran, Jerry"
N00002083,   "Moran, Jim"
N00036520,   "Moser-Bartlett, Paula"
N00036649,   "Mosher, Norm"
N00035431,   "Moulton, Seth"
N00035416,   "Mowrer, Jim"
N00035634,   "Moylan, David"
N00033410,   "Mullin, Markwayne"
N00036374,   "Mullis, Barbara Jo"
N00031412,   "Mulvaney, Mick"
N00026050,   "Murkowski, Lisa"
N00027566,   "Murphy, Christopher S"
N00035289,   "Murphy, Pat"
N00033091,   "Murphy, Patrick E"
N00036078,   "Murphy, Richard"
N00005531,   "Murphy, Robert T"
N00024992,   "Murphy, Tim"
N00007876,   "Murray, Patty"
N00034492,   "Murray, Robert"
N00000939,   "Nadler, Jerrold"
N00006789,   "Napolitano, Grace"
N00033667,   "Narvaiz, Susan"
N00036647,   "Nazario, Noel Jaime"
N00000153,   "Neal, Richard E"
N00036781,   "Neely, Charles"
N00009926,   "Nelson, Bill"
N00027570,   "Neree, Dufirstson"
N00035336,   "Nestande, Brian"
N00031469,   "Netherwood, Ray"
N00026043,   "Neugebauer, Randy"
N00036758,   "Neuman, Scott"
N00035849,   "Neuman, Wes"
N00036403,   "Newhouse, Daniel Milton"
N00036526,   "Newman, Joe"
N00036512,   "Nick, Adam"
N00032022,   "Noem, Kristi"
N00021207,   "Nolan, Rick"
N00036154,   "Norcross, Don"
N00001692,   "Norton, Eleanor Holmes"
N00032441,   "Nugent, Richard"
N00007248,   "Nunes, Devin"
N00035480,   "Nunn, Michelle"
N00031006,   "Nunnelee, Alan"
N00036572,   "O'Donnell, Jim"
N00003338,   "O'Hara, Shawn"
N00033540,   "O'Rourke, Beto"
N00009638,   "Obama, Barack"
N00034629,   "Obermueller, Mike"
N00024894,   "Oberweis, James D"
N00036771,   "Olabisi, Bayo"
N00031808,   "Oliver, Bill"
N00035096,   "Olivera, Pablo"
N00025870,   "Olsen, Norm"
N00035584,   "Olsen, Randall"
N00029285,   "Olson, Pete"
N00029613,   "Orman, Greg"
N00034310,   "Orswell, Jack"
N00007581,   "Ose, Doug"
N00036455,   "Ostrowski, Andrew J"
N00035612,   "Overby, Paula"
N00031011,   "Owens, Bill"
N00036011,   "Owens, Doug"
N00036063,   "Paddock, Rebecca"
N00035766,   "Pakootas, Joe"
N00031958,   "Palazzo, Steven"
N00000781,   "Pallone, Frank Jr"
N00035691,   "Palmer, Gary"
N00035846,   "Panifi, Sara Jane"
N00036062,   "Parachuri, Tanuja"
N00032976,   "Parker, Gail"
N00034564,   "Partain, Johnny"
N00000751,   "Pascrell, Bill Jr"
N00006397,   "Pastor, Ed"
N00036822,   "Pastorius, David Allen"
N00035104,   "Paterson, Clark"
N00035640,   "Patrick, Suzanne"
N00036772,   "Patterson, David"
N00036328,   "Paul, Dierdre"
N00030836,   "Paul, Rand"
N00029391,   "Paulsen, Erik"
N00034639,   "Payne, Donald M Jr"
N00012672,   "Pearce, Steve"
N00036714,   "Pearson, Michael"
N00035567,   "Peiser, Dave"
N00021580,   "Pekarek, Thomas"
N00007360,   "Pelosi, Nancy"
N00035516,   "Perdue, David"
N00036003,   "Perez, Frank"
N00035984,   "Perez, Jaime O"
N00027510,   "Perlmutter, Edwin G"
N00036567,   "Perri, Elizabeth"
N00034120,   "Perry, Scott"
N00035903,   "Perske, Joe"
N00036800,   "Petermann, Jeff"
N00029277,   "Peters, Gary"
N00033591,   "Peters, Scott"
N00004558,   "Peterson, Collin"
N00026126,   "Peterson, Richard"
N00004426,   "Petri, Tom"
N00035975,   "Petty, Ken"
N00036747,   "Pfleegor, Scott"
N00036168,   "Phillip, Dan"
N00036437,   "Phillips, Bartholomew J"
N00029168,   "Pierluisi, Pedro"
N00036024,   "Piliere, Frank"
N00030005,   "Ping, Catherine"
N00013817,   "Pingree, Chellie"
N00034416,   "Pittenger, Robert"
N00001633,   "Pitts, Joe"
N00035979,   "Pivoda, Emily"
N00035000,   "Plaskett, Stacey"
N00035378,   "Platt, Carol"
N00034992,   "Pleasant, Martin"
N00033549,   "Pocan, Mark"
N00026457,   "Poe, Ted"
N00035746,   "Poetter, Tom"
N00034584,   "Poliquin, Bruce"
N00029127,   "Polis, Jared"
N00030744,   "Pompeo, Mike"
N00036853,   "Porambo, Joe"
N00003682,   "Portman, Rob"
N00029662,   "Posey, Bill"
N00035323,   "Powers, Amos Scott"
N00004565,   "Pressler, Larry"
N00002260,   "Price, David"
N00026160,   "Price, Tom"
N00004092,   "Proctor, Ken"
N00013823,   "Pryor, Mark"
N00036754,   "Puccetti, Gregory"
N00031544,   "Purl, Doug"
N00035812,   "Quang, Tue Phan"
N00036597,   "Quast, Bob"
N00032951,   "Quick, Mark D"
N00030581,   "Quigley, Mike"
N00036410,   "Rabel, Edward Lawrence Jr"
N00002198,   "Rahall, Nick"
N00035757,   "Raley, J P"
N00036568,   "Ramirez, Eduardo"
N00036790,   "Ramirez, Sampson U"
N00000964,   "Rangel, Charles B"
N00035156,   "Rankin, Ed"
N00004633,   "Rankin, Sam"
N00036782,   "Ransdell, Robert Edward"
N00035972,   "Ratcliffe, John Lee"
N00036365,   "Rath, Megan Ann"
N00032524,   "Rawles, Mark J"
N00036579,   "Ray, Buddy"
N00036523,   "Ray, Leon Loe"
N00036553,   "Ray, Troy"
N00036862,   "Raymond, Robert"
N00029405,   "Recchia, Domenic"
N00030145,   "Redpath, William"
N00000362,   "Reed, Jack"
N00030776,   "Reed, Mark"
N00030949,   "Reed, Tom"
N00035999,   "Reed, Wesley"
N00035860,   "Reese, Brian"
N00036005,   "Reeves, Jason"
N00036150,   "Reich, Ed"
N00026885,   "Reichert, Dave"
N00009922,   "Reid, Harry"
N00035752,   "Reis, Rhue"
N00025216,   "Reiter, George"
N00031127,   "Renacci, Jim"
N00035560,   "Renteria, Amanda"
N00013164,   "Reyes, Art"
N00036865,   "Rhodes, John"
N00030968,   "Ribble, Reid"
N00035927,   "Rice, Kathleen"
N00033832,   "Rice, Tom"
N00036151,   "Rich, Arthur"
N00030184,   "Richmond, Cedric"
N00026683,   "Ridley, H J Jr"
N00031653,   "Ries, Bob"
N00030962,   "Rigell, Scott"
N00036793,   "Rike, Chris"
N00035845,   "Rimensnyder, Nelson"
N00036346,   "Rines, Caprice"
N00035583,   "Ringo, Shirley"
N00029441,   "Risch, James E"
N00035549,   "Ritch, John Thomas"
N00035642,   "Ritchie, Jason"
N00036565,   "Rivera, Daniel Vila"
N00030199,   "Robbins, Frankie"
N00005285,   "Roberts, Pat"
N00035337,   "Robertson, Martha"
N00032006,   "Robinson, Art"
N00035753,   "Robinson, Corinna"
N00036298,   "Robinson, Joey"
N00035639,   "Robles, Luz"
N00030768,   "Roby, Martha"
N00001685,   "Rockefeller, Jay"
N00036591,   "Rockwood, Chris"
N00035719,   "Rodgers, Mike"
N00028463,   "Roe, Phil"
N00003473,   "Rogers, Hal"
N00009668,   "Rogers, Mike"
N00024759,   "Rogers, Mike D"
N00036830,   "Rogers, Warren"
N00033985,   "Rogers, Wendy"
N00007151,   "Rohrabacher, Dana"
N00031741,   "Rokita, Todd"
N00029814,   "Roland, Jon"
N00028747,   "Romaguera, Allan"
N00031163,   "Romanoff, Andrew"
N00029018,   "Rooney, Tom"
N00036421,   "Roots, Roger"
N00002858,   "Ros-Lehtinen, Ileana"
N00004719,   "Roskam, Peter"
N00030645,   "Ross, Dennis"
N00035855,   "Rossano, Timothy"
N00035344,   "Rothblatt, Gabriel"
N00031253,   "Rothfus, Keith J"
N00035187,   "Rounds, Mike"
N00033527,   "Rouzer, David"
N00029419,   "Rowley, Ryan"
N00006671,   "Roybal-Allard, Lucille"
N00008264,   "Royce, Ed"
N00013336,   "Rozzo, Tino"
N00030612,   "Rubio, Marco"
N00033510,   "Ruiz, Raul"
N00036581,   "Rumzie, Robert"
N00031988,   "Runyan, Jon"
N00025482,   "Ruppersberger, Dutch"
N00004887,   "Rush, Bobby L"
N00033229,   "Russell, Jeffrey"
N00036748,   "Russell, Richard"
N00036175,   "Russell, Steven"
N00004357,   "Ryan, Paul"
N00025280,   "Ryan, Tim"
N00030418,   "Sablan, Gregorio"
N00036817,   "Salas, Andrew"
N00036438,   "Salekin, Choudury"
N00006446,   "Salmon, Matt"
N00035068,   "Salvette, Emily"
N00034802,   "Salyer, Michael"
N00035699,   "Samuelson, James Alan"
N00032211,   "Sanchez, David"
N00036061,   "Sanchez, Emily"
N00036792,   "Sanchez, Federico"
N00024870,   "Sanchez, Linda"
N00008274,   "Sanchez, Loretta"
N00000528,   "Sanders, Bernie"
N00036641,   "Sandman, Ray Skip"
N00036720,   "Sanford, Jeffry"
N00002424,   "Sanford, Mark"
N00036362,   "Sannes, Marvin"
N00027751,   "Sarbanes, John"
N00036442,   "Sarvis, Robert Christopher"
N00035544,   "Sasse, Ben"
N00036753,   "Saucier, Charles"
N00036112,   "Savary, Suzanne Joyce"
N00009660,   "Scalise, Steve"
N00036564,   "Schaeffer, Kenneth D"
N00004724,   "Schakowsky, Jan"
N00036529,   "Schamis, Raymond Todd"
N00028138,   "Schatz, Brian"
N00036439,   "Schechter, Eric"
N00036541,   "Schertzing, Eric"
N00009585,   "Schiff, Adam"
N00030668,   "Schilling, Bobby"
N00035602,   "Schlakman, Ian"
N00035317,   "Schnackenberg, Matt"
N00033101,   "Schneider, Brad"
N00029273,   "Schock, Aaron"
N00036025,   "Scholte, Suzanne"
N00030071,   "Schrader, Kurt"
N00036774,   "Schroeder, Hank"
N00036268,   "Schuckman, Perry"
N00026106,   "Schultz, Debbie Wasserman"
N00001093,   "Schumer, Charles E"
N00001579,   "Schwartz, Allyson"
N00028618,   "Schwartz, Leonard"
N00006460,   "Schweikert, David"
N00036326,   "Scolavino, Ruben"
N00032457,   "Scott, Austin"
N00022725,   "Scott, Bob"
N00002147,   "Scott, Bobby"
N00024871,   "Scott, David"
N00031782,   "Scott, Tim"
N00035028,   "Seaman, David"
N00036317,   "Seaman, Jack"
N00030695,   "Sebring, Dan"
N00034695,   "Seibert, Sean"
N00036773,   "Senegal, Villian"
N00035332,   "Senger, Darlene"
N00004291,   "Sensenbrenner, F James Jr"
N00001813,   "Serrano, Jose E"
N00003062,   "Sessions, Jeff"
N00005681,   "Sessions, Pete"
N00030622,   "Sewell, Terri A"
N00024790,   "Shaheen, Jeanne"
N00022814,   "Shapiro, Robert"
N00035079,   "Sharer, Chris"
N00000680,   "Shaw, Herbert"
N00036726,   "Shbeita, Adam"
N00028091,   "Shea-Porter, Carol"
N00009920,   "Shelby, Richard C"
N00035041,   "Shell, Mark"
N00035390,   "Sheridan, Tim"
N00006897,   "Sherman, Brad"
N00036133,   "Sherow, Jim"
N00035965,   "Sherrell, Lenda"
N00035991,   "Shields, Ryan"
N00004961,   "Shimkus, John M"
N00036554,   "Shoemake, Shelley"
N00036040,   "Shogan, Stephen H"
N00013770,   "Shuster, Bill"
N00035499,   "Silverstein, Matt"
N00036396,   "Simonsen, Collin Robert"
N00036000,   "Simonson, Roxanne"
N00006263,   "Simpson, Mike"
N00033983,   "Sinema, Kyrsten"
N00036316,   "Sinner, George"
N00027523,   "Sires, Albio"
N00036821,   "Skalsky, George A"
N00036685,   "Skarin, Bruce"
N00001311,   "Slaughter, Louise M"
N00007833,   "Smith, Adam"
N00027623,   "Smith, Adrian"
N00026863,   "Smith, Bert"
N00028522,   "Smith, Bob"
N00009816,   "Smith, Chris"
N00035396,   "Smith, Glo"
N00035282,   "Smith, Jason"
N00036212,   "Smith, Jesse T"
N00001811,   "Smith, Lamar"
N00035801,   "Smith, Larry"
N00036846,   "Smith, Ruth"
N00036717,   "Smith, Scott"
N00035953,   "Smith, Tootie"
N00035034,   "Soffen, Scott"
N00035160,   "Solodow, Matthew"
N00031204,   "Southerland, Steve"
N00036825,   "Souza, Daniel K"
N00036530,   "Spain, Paul"
N00035883,   "Spangler, Tom"
N00036752,   "Spano, Alexander"
N00036339,   "Spees, Kristen"
N00029649,   "Speier, Jackie"
N00036535,   "Sperber, Joseph Jean"
N00036343,   "St John, Steve"
N00004118,   "Stabenow, Debbie"
N00034892,   "Stadler, Chuck"
N00033433,   "Stainfield, Tami"
N00006259,   "Stallings, Richard"
N00035151,   "Stanczak, James"
N00036226,   "Standiford, Debbie"
N00035523,   "Stefanik, Elise"
N00030479,   "Stein, Gary"
N00036646,   "Steinhardt, Allen Frank"
N00036804,   "Stephens, Barry D"
N00028039,   "Stepp, Ken"
N00036562,   "Stevenson, Will"
N00033932,   "Stewart, Chris"
N00036844,   "Stewart, Rick"
N00029574,   "Stivers, Steve"
N00035614,   "Stocker, Barbara Hamill"
N00005918,   "Stockman, Steve"
N00036639,   "Stockwell, Chris"
N00036242,   "Stokes, Steve"
N00001728,   "Stracuzzi, Natale"
N00036812,   "Strawcutter, Rick"
N00026322,   "Strickland, Tony"
N00036561,   "Strom, Jason"
N00036390,   "Strong, Zack"
N00035339,   "Strouse, Kevin"
N00030891,   "Stutzman, Marlin"
N00036789,   "Suitonu-Chapman, Meleagi"
N00035774,   "Sullivan, Dan"
N00034529,   "Sullivan, Mark"
N00033396,   "Sund, Sharon"
N00036236,   "Sundeen, Dakin"
N00036678,   "Swafford, Amanda"
N00033508,   "Swalwell, Eric"
N00036417,   "Swaney, Mark H"
N00036276,   "Swartout, David"
N00029432,   "Swift, Kat"
N00030465,   "Swing, Gary"
N00033798,   "Tacherra, Johnny"
N00036441,   "Tahiro, Mohammed Abbajebel"
N00035535,   "Takai, Mark"
N00006701,   "Takano, Mark"
N00036249,   "Tapia, Abel"
N00036534,   "Tarpley, Ed"
N00028727,   "Tatar, John"
N00035957,   "Taylor, Kerith Strano"
N00036334,   "Teijeiro, Annette"
N00035674,   "Tennant, Natalie"
N00005321,   "Terry, Lee"
N00027605,   "Tester, Jon"
N00030211,   "Theron, Peter"
N00035889,   "Thomas, Charles (Trey)"
N00036718,   "Thomas, Dave"
N00003288,   "Thompson, Bennie G"
N00029736,   "Thompson, Glenn"
N00036855,   "Thompson, Lee"
N00036364,   "Thompson, Linda"
N00007419,   "Thompson, Mike"
N00006052,   "Thornberry, Mac"
N00036745,   "Thorne, Robert"
N00035587,   "Thorsland, Eric"
N00004572,   "Thune, John"
N00035747,   "Tibbs, David"
N00009699,   "Tiberi, Patrick J"
N00000226,   "Tierney, John F"
N00035340,   "Tilghman, Bill"
N00035492,   "Tillis, Thom"
N00034027,   "Tillman, Jimmy Lee"
N00027509,   "Tipton, Scott"
N00036470,   "Tiscornia, Jude Anthony"
N00033812,   "Tisei, Richard"
N00030191,   "Titus, Dina"
N00032169,   "Tobin, Andy"
N00036721,   "Tomaszewski, Scot John"
N00030196,   "Tonko, Paul"
N00001489,   "Toomey, Pat"
N00036107,   "Torres, Norma"
N00035760,   "Tottenham, Philip"
N00036652,   "Trammell, Jack"
N00031133,   "Trivedi, Manan"
N00036369,   "Troiano, Nicholas Robert"
N00035607,   "Trott, Dave"
N00034930,   "Trout, W Michael (Mike)"
N00028830,   "Trudell, Jerry"
N00036392,   "Tryon, Stephen P"
N00029026,   "Tsongas, Niki"
N00007638,   "Tuika, Tuika"
N00036788,   "Tulafono, Togiola"
N00028444,   "Turk, Jacob"
N00025175,   "Turner, Michael R"
N00036463,   "Tyler, Rick"
N00035937,   "Tyszkiewicz, Marek"
N00008051,   "Udall, Mark"
N00006561,   "Udall, Tom"
N00036787,   "Ude, Mark"
N00036377,   "Umbaugh, Kevin Robert"
N00004133,   "Upton, Fred"
N00033367,   "Valadao, David"
N00013820,   "Van Hollen, Chris"
N00036827,   "Vance, Donald L"
N00036381,   "Vance, Dwayne A"
N00035900,   "Vanderstelt, Dean"
N00032311,   "Vandeven, Rick"
N00007021,   "Vargas, Juan"
N00036144,   "Vaughn, Carrogan"
N00036010,   "Veach, Rodney"
N00035969,   "Veasaw, James B"
N00033839,   "Veasey, Marc"
N00034451,   "Vein, Jim"
N00034349,   "Vela, Filemon"
N00001102,   "Velazquez, Nydia M"
N00035720,   "Venuti, Joe"
N00003813,   "Visclosky, Pete"
N00009659,   "Vitter, David"
N00036779,   "Vivoni, Miguel Hernandez"
N00035799,   "Vogel, David Donald"
N00034515,   "Vohra, Arvin"
N00036851,   "Waddell, David"
N00031883,   "Wade, Kevin"
N00035207,   "Wager, Michael"
N00033106,   "Wagner, Ann L"
N00036849,   "Wahmoff, Chris"
N00035424,   "Wakefield, Margie"
N00026368,   "Walberg, Tim"
N00007690,   "Walden, Greg"
N00036548,   "Walhgren, Sharna"
N00035311,   "Walker, Bradley"
N00036691,   "Walker, Clayton G"
N00036675,   "Walker, Thom M"
N00024108,   "Walkowicz, Gary"
N00033288,   "Wallace, Dave"
N00030975,   "Wallace, Eric M"
N00036551,   "Walley, Lajena"
N00031226,   "Walorski, Jackie"
N00035686,   "Walsh, John"
N00035568,   "Walsh, Martin H"
N00036531,   "Walters, Alejandro M"
N00035391,   "Walters, Mimi"
N00027467,   "Walz, Timothy J"
N00035514,   "Ward, Rick"
N00002097,   "Warner, Mark"
N00033492,   "Warren, Elizabeth"
N00026620,   "Washer, Barbara Dale"
N00006690,   "Waters, Maxine"
N00036202,   "Watson, Todd"
N00001861,   "Waxman, Henry"
N00036764,   "Waymire, William Jr"
N00033539,   "Weber, Randy"
N00026335,   "Webster, Daniel"
N00036813,   "Weeks, James II"
N00036054,   "Weh, Allen"
N00035784,   "Wehby, Monica"
N00004578,   "Weiland, Rick"
N00034252,   "Weisser, Mikel"
N00036293,   "Welborn, Roy"
N00000515,   "Welch, Peter"
N00036807,   "Welch, Ronald II"
N00030480,   "Welzer, Steven"
N00033310,   "Wenstrup, Brad"
N00036352,   "Weppner, Kathleen"
N00035527,   "Westerman, Bruce"
N00036030,   "Westlund, Kelly"
N00026163,   "Westmoreland, Lynn A"
N00035904,   "Westrom, Torrey"
N00035709,   "Whallon, Andrew"
N00034249,   "Wharton, Scott"
N00036252,   "Wheeler, Marihelen"
N00035988,   "Whelan, Jennifer"
N00035735,   "White Wolf, Shawn"
N00027421,   "White, Will Tyler"
N00027533,   "Whitehouse, Sheldon"
N00003467,   "Whitfield, Ed"
N00036636,   "Whitney, Lenar"
N00036113,   "Wichern, Mark"
N00003280,   "Wicker, Roger"
N00029769,   "Wieder, John"
N00035762,   "Wiegmann, Matthew"
N00035862,   "Wight, Thomas"
N00026737,   "Wildman, Andrew Jaye"
N00036327,   "Wilkinson, Anthony"
N00036225,   "Willhite, Brian"
N00036829,   "Williams, Eric Lemonte"
N00035680,   "Williams, Peter"
N00030602,   "Williams, Roger"
N00036619,   "Williamson, John W"
N00036843,   "Willoughby, Donald"
N00036440,   "Wilmoth, Joe B"
N00035834,   "Wilske, Larry"
N00030650,   "Wilson, Frederica"
N00024809,   "Wilson, Joe"
N00036136,   "Wilt, Bill"
N00036467,   "Winton, Mike"
N00030000,   "Wise, Scott"
N00035696,   "Witt, James Lee"
N00029459,   "Wittman, Rob"
N00036638,   "Wofford, Ann"
N00002073,   "Wolf, Frank"
N00031857,   "Womack, Steve"
N00036386,   "Wonnacott, Brian"
N00036510,   "Wood, John Jr"
N00032416,   "Woodall, Rob"
N00036213,   "Woods, James Issac"
N00036606,   "Woods, Ray"
N00036163,   "Woolf, Aaron"
N00036630,   "Wright, Ed"
N00035689,   "Wright, Erick"
N00036301,   "Wright, Paul"
N00007724,   "Wyden, Ron"
N00028073,   "Yarmuth, John A"
N00035951,   "Yates, Jason"
N00031502,   "Yoder, Kevin"
N00033220,   "Yoho, Ted"
N00035509,   "Young, David"
N00007999,   "Young, Don"
N00034715,   "Young, Herschel"
N00030670,   "Young, Todd"
N00035569,   "Ytterberg, Don"
N00029887,   "Zaccaria, Mark"
N00027934,   "Zamora, Eddie"
N00029404,   "Zeldin, Lee"
N00033127,   "Zerban, Rob"
N00036358,   "Zetzer, Mark"
N00030451,   "Zimmer, George"
N00035616,   "Zinke, Ryan K"
