CID,CRPName
N00012508,   "Carper, Tom"
N00036625,   "Carpio, Monica"
N00035827,   "Carr, Elan"
N00036757,   "Carr, James"
N00032554,   "Carr, William R"
N00029513,   "Carson, Andre"
N00036022,   "Carson, Jeffrey"
N00035346,   "Carter, Buddy"
N00036456,   "Carter, Jerry"
N00025095,   "Carter, John"
N00034128,   "Cartwright, Matt"
N00035216,   "Cary, Michael"
N00027503,   "Casey, Bob"
N00035325,   "Casey, Nick"
N00030245,   "Cassidy, Bill"
N00036310,   "Casteen, J Wesley"
N00027514,   "Castor, Kathy"
N00033316,   "Castro, Joaquin"
N00034795,   "Cavanagh, Daniel J"
N00035842,   "Cavanagh, Lori Hopkins"
N00027227,   "Cavasso, Cam"
N00036402,   "Celis, Pedro"
N00036735,   "Chabot, Brian"
N00036102,   "Chabot, Paul"
N00003689,   "Chabot, Steve"
N00036537,   "Chaffee, Chris"
N00028958,   "Chaffetz, Jason"
N00002685,   "Chambliss, Saxby"
N00036722,   "Chance, David"
N00035893,   "Chapman, John"
N00030475,   "Chapman, Margaret"
N00034591,   "Charles, Richard"
N00036143,   "Charlton, Walter"
N00034134,   "Chauvin, Hugh"
N00036824,   "Chester, David L"
N00035387,   "Chew, Robin Leo"
N00029692,   "Childers, Travis"
N00035326,   "Cho, Roy"
N00000133,   "Christian-Christensen, Donna"
N00036176,   "Christofferson, Aelea"
N00030600,   "Chu, Judy"
N00032019,   "Cicilline, David"
N00035888,   "Claitor, Dan"
N00035278,   "Clark, Katherine"
N00035890,   "Clark, Norm"
N00026961,   "Clarke, Yvette D"
N00035854,   "Clawson, Curt"
N00012460,   "Clay, William L Jr"
N00035917,   "Cleary, Brenda"
N00026790,   "Cleaver, Emanuel"
N00035238,   "Clements, Paul Colin"
N00036199,   "Clements, Thomas Patrick"
N00036267,   "Clemmons, Chris"
N00035968,   "Cleveland, Craig"
N00002408,   "Clyburn, James E"
N00036797,   "Clyde, Bill"
N00036152,   "Coakley, Vince"
N00003845,   "Coats, Dan"
N00036320,   "Cobb, Gary"
N00028845,   "Cobb, Joe"
N00002247,   "Coble, Howard"
N00005601,   "Coburn, Tom"
N00003328,   "Cochran, Thad"
N00032957,   "Cody, Ken"
N00024753,   "Coffman, Mike"
N00003225,   "Cohen, Steve"
N00035575,   "Cohn, Alan"
N00035136,   "Cole, Michael"
N00025726,   "Cole, Tom"
N00036158,   "Coleman, Bonnie"
N00001285,   "Collins, Chris"
N00033518,   "Collins, Doug"
N00000491,   "Collins, Susan M"
N00035978,   "Colliver, Ed"
N00036023,   "Comstock, Barbara"
N00007084,   "Conaway, Bob"
N00026041,   "Conaway, Mike"
N00032363,   "Condit, Jim"
N00029891,   "Connolly, Gerry"
N00004029,   "Conyers, John Jr"
N00035123,   "Cook, Don"
N00036492,   "Cook, Paul"
N00034224,   "Cook, Paul"
N00031820,   "Coons, Chris"
N00003132,   "Cooper, Jim"
N00035056,   "Corey, Matthew"
N00027441,   "Corker, Bob"
N00024852,   "Cornyn, John"
N00035994,   "Corvalan, Ruben"
N00026341,   "Costa, Jim"
N00031064,   "Costello, Ryan"
N00033363,   "Cotton, Tom"
N00024842,   "Courtney, Joe"
N00035208,   "Cox, David"
N00036090,   "Coyne, Thomas"
N00031142,   "Cozad, David"
N00025023,   "Craig, Kevin"
N00027243,   "Craig, Rufus"
N00035755,   "Cramer, Daniel Nelson"
N00004614,   "Cramer, Kevin"
N00006267,   "Crapo, Mike"
N00035619,   "Crawford, Dennis"
N00030770,   "Crawford, Rick"
N00012739,   "Crenshaw, Ander "
N00036814,   "Crestwell, Gregory"
N00036171,   "Crossland, Pete"
N00001127,   "Crowley, Joseph"
N00034882,   "Crowley, Kawika"
N00033085,   "Cruz, Ted"
N00024978,   "Cuellar, Henry"
N00009738,   "Culberson, John"
N00036181,   "Culler, Anthony"
N00035133,   "Cummings, Daniel"
N00001971,   "Cummings, Elijah E"
N00036083,   "Cunningham, David"
N00036517,   "Cunningham, Kathleen Rosewater"
